Pretty good I learned a lot,2,,,2for positive,,,,,41,220,,49,46,22
I put three stars because it should be specified more how basic this course is,1,,,1for negative,,,,,218,,,220,218,41
is almost that this is done for somebody that does not know almost anything from CS,1,,,0for suggestions,,,,,,,,269,264,63
Too much material Too soon I am new to R and the stuff was a bit overwhelming,1,,,,,,,,,,,,,100
The course got easier as I advanced through the other courses,1,,,,,,,,,,,,,
This course is more of an overview of what is to come,1,,,,,,,,,,,,,
A lot of what is presented here could just be in the format of a word or PDF with a series of links,1,,,,,,,,,,,,,
for people that might have some experience with R statistics and ML in general this is way to basic,1,,,,,,,,,,,,,
I suppose it is ok as a foundation it does not offer much on its own,1,,,,,,,,,,,,,
Somewhat interesting to get an idea of what can be done with Github but I do not feel prepared to actually use it,1,,,,,,,,,,,,,
I am aware that this is the introduction to this topic but it was a bit long drawn out,1,,,,,,,,,,,,,
all the content of the course could be a week of some course of specialization,1,,,,,,,,,,,,,
"overall it was ok though not yet extremely intense or informative	",1,,,,,,,,,,,,,
Few content for an entire course I think this one could be together with R Programming,1,,,,,,,,,,,,,
But the peer graded setting of projects really delays the grant of certificate,1,,,,,,,,,,,,,
It took me more than two sessions of waiting just to get a grade for the peer review project,1,,,,,,,,,,,,,
this course is not well organized at all Instructors basically just read words in slides,1,,,,,,,,,,,,,
no interesting examples and no hands on practices,1,,,,,,,,,,,,,
especially week 4 slides that look like a syntax reference document,1,,,,,,,,,,,,,
all  Instructors basically just read words in slides,1,,,,,,,,,,,,,
no interesting examples and no hands-on practices,1,,,,,,,,,,,,,
especially week 4 slides that look like a syntax reference document,1,,,,,,,,,,,,,
So the entire instruction is very boring,1,,,,,,,,,,,,,
making me wonder why I need to sit here and listen to word reading rather than buying a textbook,1,,,,,,,,,,,,,
This entire specialization is the one that I have taken and feel the worst,1,,,,,,,,,,,,,
Unfortunately this specialization instruction is just about reading words in the boring slides,1,,,,,,,,,,,,,
Not that useful,1,,,,,,,,,,,,,
"Too simple and most contents are overlapped already covered in other sessions	",1,,,,,,,,,,,,,
Very average do not feel I learnt much Still not sure if it is over or not since I have submitted a peer review assignment and cannot go any further,1,,,,,,,,,,,,,
A good attempt to give introduction on basic Data Science tools though most videos end abruptly which spoils the seamless navigation experience Maybe the team can work on this,1,,,,,,,,,,,,,
The course was just fine but I do not think we should spent entire 4 weeks on it One or two week for this course would be better I think,0,,,,,,,,,,,,,
I was a little put off by having to grade my peers and it felt like the final task required a few bits of information that hadn't been previously covered,1,,,,,,,,,,,,,
Not a bad first course but not what I expected,1,,,,,,,,,,,,,
Too few activities for the time allocated,1,,,,,,,,,,,,,
A little bit too slow and too easy,1,,,,,,,,,,,,,
I had a very bad experience with this whole course set-up,1,,,,,,,,,,,,,
Especially the peer grading you have no insight on why they assigned this score to you nothing,1,,,,,,,,,,,,,
especially when you know you did your course work correctly i will never come back to coursera waste of money,1,,,,,,,,,,,,,
This course stays on the surface and does not delve too deep,1,,,,,,,,,,,,,
probably in order to not scare off people who are new to the subject,1,,,,,,,,,,,,,
I can slog thru the programming but I doubt it is the best way to do something,1,,,,,,,,,,,,,
but I never get to see how something should have been done,1,,,,,,,,,,,,,
Not bad but certainly not good,1,,,,,,,,,,,,,
Not very helpful Unnecessarily lengthy,1,,,,,,,,,,,,,
If you do not know any thing about data sciencegood introduction,2,1,,,,,,,,,,,,
a wast of time,1,,,,,,,,,,,,,
"Very insubstantial in terms of material  Much more can be done in 4 weeks	",1,,,,,,,,,,,,,
This course is very basic and takes nowhere near 1 month I spent about 3 hours in total on it,1,,,,,,,,,,,,,
I think the project became very confusing since no examples were done in the lectures,1,,,,,,,,,,,,,
Worthless course There should have been no need for this course and the fact that they charge money for this is disappointing,1,,,,,,,,,,,,,
This module could have been easily merged with the next module  Just a few pages with instructions on how to install the required softwares and repositories would have sufficed,1,,,,,,,,,,,,,
A little boring Necessary if you have ABSOLUTELY no experience with data analysis,1,,,,,,,,,,,,,
Not really useful,1,,,,,,,,,,,,,
If you are not already experienced in data science it also requires a fair amount of imagination to picture what all these tools are actually used for,1,,,,,,,,,,,,,
Very bad course so far Very little detail and Assignments are very hard to solve Worst $500 dollars spent in my life and the course is not worth even $10,1,,,,,,,,,,,,,
"I am an online instructor myself and the quality of the course is not worth its price	",1,,,,,,,,,,,,,
Poorly organized Poorly communicated No reliable source of assistance with technical problems,1,,,,,,,,,,,,,
"This module should not be kept as a separate piece	",1,,,,,,,,,,,,,
too little materials can finish in two nights,1,,,,,,,,,,,,,
annoying,1,,,,,,,,,,,,,
The entire 4 weeks could have (and should have) been condensed into 1 week,1,,,,,,,,,,,,,
Very basic course I was able to complete the 4 weeks on content in a weekend,1,,,,,,,,,,,,,
I would recommend skipping this module and moving directly to the R Programming course,1,,,,,,,,,,,,,
Too basic not very informative Waste of money,1,,,,,,,,,,,,,
Very basic overview of the tools and installation of them Should be an optional course rather than part of the specialization,1,,,,,,,,,,,,,
I have no idea why you called it course since there was nothing inside,1,,,,,,,,,,,,,
Could not hear the videos,1,,,,,,,,,,,,,
"Not worth 29$ considering you could take away very little from this course	",1,,,,,,,,,,,,,
Too simple too easy,1,,,,,,,,,,,,,
"It is too easy as a ""university"" course It is much more like a pratictioner course The final exam is ridiculous really too easy",1,,,,,,,,,,,,,
However could cover the usage of the terminal and Rstudio better,1,,,,,,,,,,,,,
very bad,1,,,,,,,,,,,,,
this course is very poorly structured,1,,,,,,,,,,,,,
If you have much programming background this course will be a breeze,1,,,,,,,,,,,,,
